Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE101063	HIF-1b	Novus HIF-1b	-	-	renal tubular cells	GSE101063_Novus_HIF-1b	GSE101063_HIF-1b
GSE101064	HIF-1a	Cayman HIF-1a	-	-	renal tubular cells	GSE101064_Cayman_HIF-1a	GSE101064_HIF-1a
GSE101064	HIF-1b	Novus HIF-1b	-	-	renal tubular cells	GSE101064_Novus_HIF-1b	GSE101064_HIF-1b
GSE101074	TFAP2C	TFAP2C	-	-	TFAP2C-/- 2d TFAP2C Induc TFAP2C ChIP	GSE101074_TFAP2C	GSE101074_TFAP2C
GSE101095	CTCF	CTCF	-	-	-	GSE101095_CTCF	GSE101095_CTCF
GSE101103	CTCF	CTCF	-	-	-	GSE101103_CTCF	GSE101103_CTCF
GSE101119	CBX8	CBX8	-	-	-	GSE101119_CBX8	GSE101119_CBX8
GSE101135	CBX3	CBX3	-	-	-	GSE101135_CBX3	GSE101135_CBX3
GSE101139	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE101139_EZH2phosphoT487	GSE101139_EZH2phosphoT487
GSE101145	WHSC1	WHSC1	-	-	-	GSE101145_WHSC1	GSE101145_WHSC1
GSE101150	KDM1A	KDM1A	-	-	-	GSE101150_KDM1A	GSE101150_KDM1A
GSE101162	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE101162_EZH2phosphoT487	GSE101162_EZH2phosphoT487
GSE101171	CBX2	CBX2	-	-	-	GSE101171_CBX2	GSE101171_CBX2
GSE101194	RING1	RING1	-	-	-	GSE101194_RING1	GSE101194_RING1
GSE101203	PHF8	PHF8	-	-	-	GSE101203_PHF8	GSE101203_PHF8
GSE101211	CBX3	CBX3	-	-	-	GSE101211_CBX3	GSE101211_CBX3
GSE101213	CHD4	CHD4	-	-	-	GSE101213_CHD4	GSE101213_CHD4
GSE101222	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE101222_EZH2phosphoT487	GSE101222_EZH2phosphoT487
GSE101225	BRD4	BRD4	-	-	-	GSE101225_BRD4	GSE101225_BRD4
GSE101228	PAF1	PAF1	-	-	-	GSE101228_PAF1	GSE101228_PAF1
GSE101236	CBX8	CBX8	-	-	-	GSE101236_CBX8	GSE101236_CBX8
GSE101243	KDM1A	KDM1A	-	-	-	GSE101243_KDM1A	GSE101243_KDM1A
GSE101245	CHD7	CHD7	-	-	-	GSE101245_CHD7	GSE101245_CHD7
GSE101246	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE101246_EZH2phosphoT487	GSE101246_EZH2phosphoT487
GSE101248	HDAC2	HDAC2	-	-	-	GSE101248_HDAC2	GSE101248_HDAC2
GSE101251	REST	REST	-	-	-	GSE101251_REST	GSE101251_REST
GSE101263	KMT2B	KMT2B	-	-	-	GSE101263_KMT2B	GSE101263_KMT2B
GSE101266	WDR5	WDR5	-	-	-	GSE101266_WDR5	GSE101266_WDR5
GSE101270	CHD4	CHD4	-	-	-	GSE101270_CHD4	GSE101270_CHD4
GSE101275	CBX2	CBX2	-	-	-	GSE101275_CBX2	GSE101275_CBX2
GSE101279	CTCF	CTCF	-	-	-	GSE101279_CTCF	GSE101279_CTCF
GSE101284	RNF2	RNF2	-	-	-	GSE101284_RNF2	GSE101284_RNF2
GSE101295	CTCF	CTCF	-	-	SJNB3	GSE101295_CTCF	GSE101295_CTCF
GSE101313	CHD7	CHD7	-	-	-	GSE101313_CHD7	GSE101313_CHD7
GSE101344	WDR5	WDR5	-	-	-	GSE101344_WDR5	GSE101344_WDR5
GSE101355	RING1	RING1	-	-	-	GSE101355_RING1	GSE101355_RING1
GSE101356	EZH2phosphoT487	EZH2phosphoT487	-	-	-	GSE101356_EZH2phosphoT487	GSE101356_EZH2phosphoT487
GSE101362	REST	REST	-	-	-	GSE101362_REST	GSE101362_REST
GSE101364	EZH2	EZH2	-	-	-	GSE101364_EZH2	GSE101364_EZH2
GSE101369	WDR5	WDR5	-	-	-	GSE101369_WDR5	GSE101369_WDR5
GSE101372	KDM5A	KDM5A	-	-	-	GSE101372_KDM5A	GSE101372_KDM5A
GSE101379	KDM5A	KDM5A	-	-	-	GSE101379_KDM5A	GSE101379_KDM5A
GSE101407	FOXA1	FoxA1 rabbit ab23738	human breast cancer cells from PDX mice	-	-	GSE101407_FoxA1_rabbit_ab23738	GSE101407_FOXA1
GSE101559	JMJD6	JMJD6	-	Michigan Cancer Foundation-7 cells(MCF-7 cells)	-	GSE101559_JMJD6	GSE101559_JMJD6
GSE101559	MED12	Med12	-	Michigan Cancer Foundation-7 cells(MCF-7 cells)	-	GSE101559_Med12	GSE101559_MED12
GSE101646	BRWD2	BRWD2 833	-	v6.5	-	GSE101646_BRWD2_833	GSE101646_BRWD2
GSE101646	BRWD2	dBRWD2	-	v6.5	-	GSE101646_dBRWD2	GSE101646_dBRWD2
GSE101737	p53	p53	-	MCF-7	Breast carcinoma	GSE101737_p53	GSE101737_p53
GSE101789	RUNX1_AML1	Anti-RUNX1/AML1 antibody	-	ME-1	Human inv(16) leukemia cell line	GSE101789_Anti-RUNX1AML1_antibody	GSE101789_RUNX1_AML1
GSE101821	BRD4	BRD4	-	-	-	GSE101821_BRD4	GSE101821_BRD4
GSE101832	ETS1	ETS1	-	OVCAR8	-	GSE101832_ETS1	GSE101832_ETS1
GSE101921	SA1	custom made antibody for SA1	-	MCF10A	Transformed nontumorigenic	GSE101921_custom_made_antibody_for_SA1	GSE101921_SA1
GSE101921	SA2	custom made antibody for SA2	-	MCF10A	Transformed nontumorigenic	GSE101921_custom_made_antibody_for_SA2	GSE101921_SA2
GSE101921	SMC1	custom made antibody for SMC1	-	MCF10A	Transformed nontumorigenic	GSE101921_custom_made_antibody_for_SMC1	GSE101921_SMC1
GSE101921	ZMYM2	Zmym2 antibody was a generous gift from H. Yu	-	MCF10A	Transformed nontumorigenic	GSE101921_Zmym2_antibody_was_a_generous_gift_from_H_Yu	GSE101921_ZMYM2
GSE102019	CTCF	rabbit anti-CTCF	-	MDA-MB-435 melanoma cells	-	GSE102019_rabbit_anti-CTCF	GSE102019-r_CTCF
GSE102019	CTCF	rabbit anti-pT431 CTCF	-	MDA-MB-435 melanoma cells	-	GSE102019_rabbit_anti-pT431_CTCF	GSE102019_CTCF
GSE102164	ARE	Androgen Receptor	-	R1-D567	Transcription activator-like effector nuclease genetically-engineered cell lines derived from CWR-R1 PCa cells	GSE102164_Androgen_Receptor	GSE102164_ARE
GSE102184	CTCF	CTCF	Adult peripheral blood	-	CD34+ derived erythroblasts	GSE102184_CTCF	GSE102184_CTCF
GSE102355	GR	rabbit anti-GR polyclonal antibody	-	MCF10A	-	GSE102355_rabbit_anti-GR_polyclonal_antibody	GSE102355_GR
GSE102360	PRDM1	PRDM1	-	U266	Plasma cell lymphoma	GSE102360_PRDM1	GSE102360_PRDM1
GSE102406	BRD4	BRD4	-	MDA-MB-231 breast cancer cells	-	GSE102406_BRD4	GSE102406_BRD4
GSE102409	BRD4	BRD4	-	MDA-MB-231 breast cancer cells	-	GSE102409_BRD4	GSE102409_BRD4
GSE102410	c-Jun	c-Jun	-	MCF-7	ERalpha-positive breast cancer cells	GSE102410_c-Jun	GSE102410_c-Jun
GSE102410	ERa	ERalpha	-	MCF-7	ERalpha-positive breast cancer cells	GSE102410_ERalpha	GSE102410_ERa
GSE102462	ZIC2	ZIC2	peritoneal effusion	-	KSHV positive B cell lymphoma	GSE102462_ZIC2	GSE102462_ZIC2
GSE102559	BRG1	ab110641	-	HepG2	liver cancer cell line	GSE102559_ab110641	GSE102559_BRG1_hep2
GSE102559	BRG1	Anti-BRG1 antibody	-	HepG2	liver cancer cell line	GSE102559_Anti-BRG1_antibody	GSE102559_BRG1
GSE102559	BRM	BRM	-	HepG2	liver cancer cell line	GSE102559_BRM	GSE102559_BRM
GSE102561	BRG1	ab110641	-	HepG2	liver cancer cell line	GSE102561_ab110641	GSE102561_BRG1_hep2
GSE102561	BRG1	Anti-BRG1 antibody	-	HepG2	liver cancer cell line	GSE102561_Anti-BRG1_antibody	GSE102561_BRG1
GSE102561	BRM	BRM	-	HepG2	liver cancer cell line	GSE102561_BRM	GSE102561_BRM
GSE102599	EZH2	EZH2	-	A549 lung cancer cell line	A549 lung cancer cell line	GSE102599_EZH2	GSE102599_EZH2
GSE102616	POLR2A	POLR2A	Human prostate cancer cell line C42B	C42B	-	GSE102616_POLR2A	GSE102616_POLR2A
GSE102616	ZFX	ZFX	Human prostate cancer cell line C42B	C42B	-	GSE102616_ZFX	GSE102616_ZFX
GSE102616	ZNF711	ZNF711	Human prostate cancer cell line C42B	C42B	-	GSE102616_ZNF711	GSE102616_ZNF711
GSE102697	CEBPa	C/EBPalpha	-	-	Kasumi-1 cells	GSE102697_CEBPalpha	GSE102697_CEBPa
GSE102697	ETO	ETO	-	-	Kasumi-1 cells	GSE102697_ETO	GSE102697_ETO
GSE102697	EVI-1	EVI-1	-	-	Kasumi-1 cells	GSE102697_EVI-1	GSE102697_EVI-1
GSE102761	CSL	CSL antibody	-	-	-	GSE102761_CSL_antibody	GSE102761_CSL
GSE102796	p53	anti-p53	-	SW480	Human Colon Cancer Cell Line	GSE102796_anti-p53	GSE102796_p53
GSE102796	TNFa	12.5 ng  ml-1 TNF-α for 16 hr	-	SW480	Human Colon Cancer Cell Line	GSE102796_12_5_ng_ml-1_TNF-α_for_16_hr	GSE102796_TNFa
GSE102796	p65	anti-p65	-	SW480	Human Colon Cancer Cell Line	GSE102796_anti-p65	GSE102796_p65
GSE102803	ARID2	Santa Cruz ARID2	-	clear cell renal cell carcinoma cell line 786-O	-	GSE102803_Santa_Cruz_ARID2	GSE102803_ARID2
GSE102882	ER	ER	-	MCF7	mammary epithelial cells	GSE102882_ER	GSE102882_ER
GSE102884	CTCF	CTCF	-	-	HeLa Kyoto	GSE102884_CTCF	GSE102884_CTCF
GSE102884	SMC3	SMC3	-	-	HeLa Kyoto	GSE102884_SMC3	GSE102884_SMC3
GSE103023	ERa	ERa sc-543	-	MCF7	Breast cancer	GSE103023_ERa_sc-543	GSE103023_ERa
GSE103030	BORIS	BORIS	-	Kelly cells	-	GSE103030_BORIS	GSE103030_BORIS
GSE103030	BRD4	BRD4	-	Kelly cells	-	GSE103030_BRD4	GSE103030_BRD4
GSE103030	CTCF	CTCF	-	Kelly cells	-	GSE103030_CTCF	GSE103030_CTCF
GSE103125	BCL6	Bcl-6	-	OCI-LY1	B cell lymphoma	GSE103125_Bcl-6	GSE103125_BCL6
GSE103215	NF90	NF90	-	-	-	GSE103215_NF90	GSE103215_NF90
GSE103245	SIN3A	SIN3A	-	HUVEC	-	GSE103245_SIN3A	GSE103245_SIN3A
GSE103255	AML1	antibody AML1-ETO	-	Kasumi-1	Acute Myeloid Leukemia	GSE103255_antibody_AML1-ETO	GSE103255_AML1
GSE103255	GFI1	antibody GFI1	-	Kasumi-1	Acute Myeloid Leukemia	GSE103255_antibody_GFI1	GSE103255_GFI1
GSE103331	DNMT1	DNMT1	-	HBEC-3KT	-	GSE103331_DNMT1	GSE103331_DNMT1
GSE103331	EZH2	EZH2	-	HBEC-3KT	-	GSE103331_EZH2	GSE103331_EZH2
GSE103395	BRD4	anti-BRD4 antibody	-	TREx-(F3H3)-K-Rta BCBL-1 cells	KSHV-positive human B cell lymphoma cells	GSE103395_anti-BRD4_antibody	GSE103395_BRD4
GSE103445	V5	V5-tag	-	HUDEP-2	-	GSE103445_V5-tag	GSE103445_V5
GSE103445	ZBTB7A	ZBTB7A	-	HUDEP-2	-	GSE103445_ZBTB7A	GSE103445_ZBTB7A
GSE103449	BRD4	Sigma HPA015055	-	LREX'	-	GSE103449_Sigma_HPA015055	GSE103449_BRD4
GSE103477	CEBPb	CEBPb, Santa Cruz: sc-150	-	-	THP-1 monocyte AML cell line	GSE103477_CEBPb_Santa_Cruz_sc-150	GSE103477_CEBPb
GSE103477	CTCF	CTCF, Active Motif: #61311	-	-	THP-1 monocyte AML cell line	GSE103477_CTCF_Active_Motif_#61311	GSE103477_CTCF
GSE103477	FOS	FOS, Santa Cruz: sc-7202	-	-	THP-1 monocyte AML cell line	GSE103477_FOS_Santa_Cruz_sc-7202	GSE103477_FOS
GSE103477	p65	p65, Santa Cruz: sc-372	-	-	THP-1 monocyte AML cell line	GSE103477_p65_Santa_Cruz_sc-372	GSE103477_p65
GSE103477	PU.1	PU.1, Santa Cruz: sc-352	-	-	THP-1 monocyte AML cell line	GSE103477_PU_1_Santa_Cruz_sc-352	GSE103477_PU.1
GSE103477	RAD21	RAD21, Genetex: GTX106012	-	-	THP-1 monocyte AML cell line	GSE103477_RAD21_Genetex_GTX106012	GSE103477_RAD21
GSE103894	APC	anti-APC	-	HCT-116	colon carcinoma	GSE103894_anti-APC	GSE103894_APC
GSE103895	APC	anti-APC	-	HCT-116	colon carcinoma	GSE103895_anti-APC	GSE103895_APC
GSE104137	PITX1	anti-Pitx1	tongue	-	-	GSE104137_anti-Pitx1	GSE104137_PITX1
GSE104137	SOX2	anti-Sox2	tongue	-	-	GSE104137_anti-Sox2	GSE104137_SOX2
GSE104137	TP63	anti-TP63	tongue	-	-	GSE104137_anti-TP63	GSE104137_TP63
GSE104145	KLF4	anti-Klf4	skin	-	squamous cell carcinoma (SCC)	GSE104145_anti-Klf4	GSE104145_KLF4
GSE104145	PITX1	anti-Pitx1	skin	-	squamous cell carcinoma (SCC)	GSE104145_anti-Pitx1	GSE104145_PITX1
GSE104145	SOX2	anti-Sox2	skin	-	squamous cell carcinoma (SCC)	GSE104145_anti-Sox2	GSE104145_SOX2
GSE104145	TP63	anti-TP63	skin	-	squamous cell carcinoma (SCC)	GSE104145_anti-TP63	GSE104145_TP63
GSE104261	NOTCH3	Notch3 ChIP-seq	-	-	T-Acute Lymphoblastic Leukemia patient derived cell line (T-ALL1)	GSE104261_Notch3_ChIP-seq	GSE104261_NOTCH3
GSE104262	NOTCH3	Notch3 ChIP-seq	-	-	T-Acute Lymphoblastic Leukemia patient derived cell line (T-ALL1)	GSE104262_Notch3_ChIP-seq	GSE104262_NOTCH3
GSE104309	TAF10	ab138774, Abcam	-	RN2	-	GSE104309_ab138774_Abcam	GSE104309_TAF10
GSE104309	TAF2	A302-131, Behtyl	-	RN2	-	GSE104309_A302-131_Behtyl	GSE104309_TAF2
GSE104352	SMAD2-3	anti-SMAD2/3 antibody	-	breast cancer cell line BT549	-	GSE104352_anti-SMAD23_antibody	GSE104352_SMAD2-3
GSE104399	AR	AR	Human breast tumor	MCF-7	-	GSE104399_AR	GSE104399_AR
GSE104399	ER	ER	Human breast tumor	MCF-7	-	GSE104399_ER	GSE104399_ER
GSE104399	FOXA1	FOXA1	Human breast tumor	MCF-7	-	GSE104399_FOXA1	GSE104399_FOXA1
GSE104399	GATA3	GATA3	Human breast tumor	MCF-7	-	GSE104399_GATA3	GSE104399_GATA3
GSE104399	GR	GR	Human breast tumor	MCF-7	-	GSE104399_GR	GSE104399_GR
GSE104399	PR	PR	Human breast tumor	MCF-7	-	GSE104399_PR	GSE104399_PR
GSE104481	BRD2	BRD2	-	H23	Non-small lung cancer cell	GSE104481_BRD2	GSE104481_BRD2
GSE104537	MED1_TRAP220	MED1/TRAP220 antibody	-	hMSC-TERT4	-	GSE104537_MED1TRAP220_antibody	GSE104537_MED1_TRAP220
GSE104545	ARID1A	Abcam ab182560	-	RMG-1	-	GSE104545_Abcam_ab182560	GSE104545_ARID1A
GSE104545	ARID1A	Abcam ab97995	-	RMG-1	-	GSE104545_Abcam_ab97995	GSE104545_ARID1A_1
GSE104545	PI-15	Abcam ab4279	-	RMG-1	-	GSE104545_Abcam_ab4279	GSE104545_PI-15
GSE104574	KLF1	KLF1	-	-	immortalized erythroleukemia cells (overexpressinng PU1)	GSE104574_KLF1	GSE104574_KLF1
GSE104574	PU.1	PU1	-	-	immortalized erythroleukemia cells (overexpressinng PU1)	GSE104574_PU1	GSE104574_PU.1
GSE104574	SMAD1	SMAD1	-	-	immortalized erythroleukemia cells (overexpressinng PU1)	GSE104574_SMAD1	GSE104574_SMAD1
GSE104579	CTCF	CTCF	Cord Blood	-	CD34+ hematopoietic stem cells (HSPCs)	GSE104579_CTCF	GSE104579_CTCF
GSE104638	CEBPB	anti-C/EBPB	peripheral blood	-	monocytes	GSE104638_anti-CEBPB	GSE104638_CEBPb
GSE104638	PU.1	anti-PU.1	peripheral blood	-	monocytes	GSE104638_anti-PU_1	GSE104638_PU.1
GSE104676	CTCF	CTCF	erythroid	HUDEP2 cells	-	GSE104676_CTCF	GSE104676_CTCF
GSE104682	SMAD1	anti-SMAD1	-	Human pulmonary artery endothelial cells (HPAECs)	-	GSE104682_anti-SMAD1	GSE104682_SMAD1
GSE104685	SMAD1	anti-SMAD1	endothelial cells	Human pulmonary artery endothelial cells (HPAECs)	human umbilical vein endothelial cells	GSE104685_anti-SMAD1	GSE104685_SMAD1
GSE104690	BCOR	BCOR 185	-	-	H1 hESC	GSE104690_BCOR_185	GSE104690_BCOR_h1
GSE104690	BCOR	Vivian Bardwell Lab; University of Minnesota, Cat# anti-BCOR, RRID:AB_2716801	-	-	H1 hESC	GSE104690_Vivian_Bardwell_Lab_University_of_Minnesota_Cat#_anti-BCOR_RRIDAB_2716801	GSE104690_BCOR
GSE104690	KDM2B	KDM2B	-	-	H1 hESC	GSE104690_KDM2B	GSE104690_KDM2B
GSE104690	PCGF1	PCGF1	-	-	H1 hESC	GSE104690_PCGF1	GSE104690_PCGF1
GSE104690	RNF2	A302869A	-	-	H1 hESC	GSE104690_A302869A	GSE104690_RNF2
GSE104690	RYBP	RYBP Chemicon Ab3637	-	-	H1 hESC	GSE104690_RYBP_Chemicon_Ab3637	GSE104690_RYBP
GSE104745	BRD4	Brd4	-	NPMc+ leukemia OCI-AML3 cells	acute myeloid leukemia	GSE104745_Brd4	GSE104745_BRD4
GSE104745	CEBPb	CEBPB	-	NPMc+ leukemia OCI-AML3 cells	acute myeloid leukemia	GSE104745_CEBPB	GSE104745_CEBPb
GSE104754	LSD1	LSD1	-	MDA-MB-231	-	GSE104754_LSD1	GSE104754_LSD1
GSE104755	LSD1	LSD1	-	MDA-MB-231	-	GSE104755_LSD1	GSE104755_LSD1
GSE104863	DNMT3B	anti-DNMT3B	-	-	Human induced pluripotent stem cell (iPSC)	GSE104863_anti-DNMT3B	GSE104863_DNMT3B
GSE104921	IRF4	IRF4	-	-	CD4 T cells	GSE104921_IRF4	GSE104921_IRF4
GSE104921	NFATc1	NFATc1	-	-	CD4 T cells	GSE104921_NFATc1	GSE104921_NFATc1
GSE104921	NFATc2	NFATc2	-	-	CD4 T cells	GSE104921_NFATc2	GSE104921_NFATc2
GSE104983	CTCF	anti-CTCF	-	MCF7	-	GSE104983_anti-CTCF	GSE104983_CTCF
GSE104983	ERa	anti-ERα	-	MCF7	-	GSE104983_anti-ERα	GSE104983_ERa
GSE104983	KDM2B	anti-KDM5B	-	MCF7	-	GSE104983_anti-KDM5B	GSE104983_KDM2B
GSE104988	CTCF	anti-CTCF	-	MCF7	-	GSE104988_anti-CTCF	GSE104988_CTCF
GSE104988	ERa	anti-ERα	-	MCF7	-	GSE104988_anti-ERα	GSE104988_ERa
GSE104988	KDM2B	anti-KDM5B	-	MCF7	-	GSE104988_anti-KDM5B	GSE104988_KDM2B
GSE105028	BRG1	Brg1	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_Brg1	GSE105028_BRG1
GSE105028	c-Fos	cFos	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_cFos	GSE105028_c-Fos
GSE105028	CTCF	CTCF	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_CTCF	GSE105028_CTCF
GSE105028	HSF1	HSF1	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_HSF1	GSE105028_HSF1
GSE105028	KLF4	KLF4	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_KLF4	GSE105028_KLF4
GSE105028	NANOG	NANOG	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_NANOG	GSE105028_Nanog
GSE105028	NIPBL	NIPBL	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_NIPBL	GSE105028_NIPBL
GSE105028	OCT4	OCT4	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_OCT4	GSE105028_OCT4
GSE105028	RAD21	Rad21	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_Rad21	GSE105028_RAD21
GSE105028	RING1B	RING1B	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_RING1B	GSE105028_RING1B
GSE105028	WAPL	WAPL	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_WAPL	GSE105028_WAPL
GSE105028	ZNF143	ZNF143	-	H9 human Embryonic Stem Cell Line	H9 human Embryonic Stem Cell Line	GSE105028_ZNF143	GSE105028_ZNF143
GSE105037	IRF3	Rabbit polyclonal anti-IRF3	-	-	Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC)	GSE105037_Rabbit_polyclonal_anti-IRF3	GSE105037_IRF3
GSE105168	EP300	EP300	-	-	-	GSE105168_EP300	GSE105168_EP300
GSE105178	POLR2A	POLR2A	-	-	-	GSE105178_POLR2A	GSE105178_POLR2A
GSE105179	CTCF	CTCF	-	-	-	GSE105179_CTCF	GSE105179_CTCF
GSE105182	SALL1	eGFP-SALL1	-	-	-	GSE105182_eGFP-SALL1	GSE105182_SALL1
GSE105183	ZBTB10	eGFP-ZBTB10	-	-	-	GSE105183_eGFP-ZBTB10	GSE105183_ZBTB10
GSE105186	CTCF	CTCF	-	-	-	GSE105186_CTCF	GSE105186_CTCF
GSE105188	SNIP1	SNIP1	-	-	-	GSE105188_SNIP1	GSE105188_SNIP1
GSE105189	HSF1	HSF1	-	-	-	GSE105189_HSF1	GSE105189_HSF1
GSE105192	RCOR1	RCOR1	-	-	-	GSE105192_RCOR1	GSE105192_RCOR1
GSE105193	SALL2	eGFP-SALL2	-	-	-	GSE105193_eGFP-SALL2	GSE105193_SALL2
GSE105195	EP300	EP300	-	-	-	GSE105195_EP300	GSE105195_EP300
GSE105196	ZNF175	eGFP-ZNF175	-	-	-	GSE105196_eGFP-ZNF175	GSE105196_ZNF175
GSE105198	CTCF	CTCF	-	-	-	GSE105198_CTCF	GSE105198_CTCF
GSE105200	ATF2	ATF2	-	-	-	GSE105200_ATF2	GSE105200_ATF2
GSE105201	EP300	EP300	-	-	-	GSE105201_EP300	GSE105201_EP300
GSE105202	TAF15	TAF15	-	-	-	GSE105202_TAF15	GSE105202_TAF15
GSE105204	ATF7	ATF7	-	-	-	GSE105204_ATF7	GSE105204_ATF7
GSE105205	FUS	FUS	-	-	-	GSE105205_FUS	GSE105205_FUS
GSE105207	POLR2A	POLR2A	-	-	-	GSE105207_POLR2A	GSE105207_POLR2A
GSE105212	BCLAF1	BCLAF1	-	-	-	GSE105212_BCLAF1	GSE105212_BCLAF1
GSE105215	RFX5	RFX5	-	-	-	GSE105215_RFX5	GSE105215_RFX5
