File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF086UJJ	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1							ENCFF260MWW, ENCFF736RWD	766746	Kevin White, UChicago	e01c7cdfde5b28c0dc2b5c95cb5a32ba		https://www.encodeproject.org/files/ENCFF086UJJ/@@download/ENCFF086UJJ.bed.gz	dm6				released	s3://encode-public/2017/07/05/c17bf0f2-f547-4a64-b720-394520dae484/ENCFF086UJJ.bed.gz				
ENCFF644UQX	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				2							ENCFF081WOC, ENCFF260MWW	766654	Kevin White, UChicago	a61f063e4b30b0d88c3cd33b7203b07a		https://www.encodeproject.org/files/ENCFF644UQX/@@download/ENCFF644UQX.bed.gz	dm6				released	s3://encode-public/2017/07/05/b7c34406-d898-4375-b52e-2c143f634afd/ENCFF644UQX.bed.gz				
ENCFF630NHX	bed narrowPeak	optimal IDR thresholded peaks	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF576STP, ENCFF670KFF, ENCFF909MKP	6858	Kevin White, UChicago	c7b47387e8e88c53ce55c9b667427a26		https://www.encodeproject.org/files/ENCFF630NHX/@@download/ENCFF630NHX.bed.gz	dm3				released	s3://encode-public/2017/07/05/fd32fed2-b741-4be8-8df9-48a613a8c759/ENCFF630NHX.bed.gz				
ENCFF004BZT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF086UJJ, ENCFF644UQX, ENCFF999NDL	5690	Kevin White, UChicago	6e830752df89b811d8baf43a531196f7		https://www.encodeproject.org/files/ENCFF004BZT/@@download/ENCFF004BZT.bed.gz	dm6				released	s3://encode-public/2017/07/05/5dbb5b81-2a9e-4c69-8a0c-1e965dfbd33e/ENCFF004BZT.bed.gz				
ENCFF670KFF	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1							ENCFF258SRY, ENCFF590ZBF	767889	Kevin White, UChicago	1f7c37e3bc2cc4ae1a32b75c701fc641		https://www.encodeproject.org/files/ENCFF670KFF/@@download/ENCFF670KFF.bed.gz	dm3				released	s3://encode-public/2017/07/05/3bc2ba90-dd37-4705-a812-cfffcb8e4871/ENCFF670KFF.bed.gz				
ENCFF909MKP	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				2							ENCFF590ZBF, ENCFF654HSO	767493	Kevin White, UChicago	b022700da90609d9949362d323c8912e		https://www.encodeproject.org/files/ENCFF909MKP/@@download/ENCFF909MKP.bed.gz	dm3				released	s3://encode-public/2017/07/05/4268d986-abf1-45ae-8cfd-dec426af144c/ENCFF909MKP.bed.gz				
ENCFF576STP	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF258SRY, ENCFF590ZBF, ENCFF654HSO	784688	Kevin White, UChicago	375347389c81460bdb8eed99b752380e		https://www.encodeproject.org/files/ENCFF576STP/@@download/ENCFF576STP.bed.gz	dm3				released	s3://encode-public/2017/07/05/ff694e19-20d2-4d87-a2c4-b7edf545d0de/ENCFF576STP.bed.gz				
ENCFF999NDL	bed narrowPeak	peaks and background as input for IDR	ENCSR033IIP	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF081WOC, ENCFF260MWW, ENCFF736RWD	784807	Kevin White, UChicago	940914c547e903bb2372d737d0c51c36		https://www.encodeproject.org/files/ENCFF999NDL/@@download/ENCFF999NDL.bed.gz	dm6				released	s3://encode-public/2017/07/05/c569b968-4080-4f5f-b405-b6c49d59b361/ENCFF999NDL.bed.gz				
ENCFF032KFH	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1							ENCFF451HVT, ENCFF964RHW	755361	Kevin White, UChicago	e1389dd87c1282165171412dad27bd8f		https://www.encodeproject.org/files/ENCFF032KFH/@@download/ENCFF032KFH.bed.gz	dm3				released	s3://encode-public/2017/12/19/4d4befb8-4ebd-4516-98f2-a64bdf9bcccc/ENCFF032KFH.bed.gz				
ENCFF603YCN	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1, 2							ENCFF106RBQ, ENCFF451HVT, ENCFF964RHW	634955	Kevin White, UChicago	f51f6934e4dbe789df4818088d576c9a		https://www.encodeproject.org/files/ENCFF603YCN/@@download/ENCFF603YCN.bed.gz	dm3				released	s3://encode-public/2017/12/19/e7bcefb3-bf99-424e-b3aa-b85f59f7f5c4/ENCFF603YCN.bed.gz				
ENCFF164ZSA	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1							ENCFF257ASS, ENCFF800RTX	757203	Kevin White, UChicago	54343ef393a37a64f2faa7a2f69cc185		https://www.encodeproject.org/files/ENCFF164ZSA/@@download/ENCFF164ZSA.bed.gz	dm6				released	s3://encode-public/2017/12/19/ed9a2626-50a2-4b2f-8d15-bf13ef9356f5/ENCFF164ZSA.bed.gz				
ENCFF058MHE	bed narrowPeak	optimal IDR thresholded peaks	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1, 2							ENCFF104ELV, ENCFF164ZSA, ENCFF726NZL	1011	Kevin White, UChicago	0bde4d8154112d2df139298ed292b444		https://www.encodeproject.org/files/ENCFF058MHE/@@download/ENCFF058MHE.bed.gz	dm6				released	s3://encode-public/2017/12/19/4ef62d32-4173-4691-a048-01abe2e8b627/ENCFF058MHE.bed.gz				
ENCFF726NZL	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				2							ENCFF422LCO, ENCFF800RTX	757637	Kevin White, UChicago	98b0cc0ccc510bb5bca1941fbac661f4		https://www.encodeproject.org/files/ENCFF726NZL/@@download/ENCFF726NZL.bed.gz	dm6				released	s3://encode-public/2017/12/19/6e4d32c6-34b1-41cf-876b-6292c103880d/ENCFF726NZL.bed.gz				
ENCFF111DWN	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				2							ENCFF106RBQ, ENCFF451HVT	729134	Kevin White, UChicago	91558ea9f58a819e255f8eee620920c3		https://www.encodeproject.org/files/ENCFF111DWN/@@download/ENCFF111DWN.bed.gz	dm3				released	s3://encode-public/2017/12/19/dd497318-de9b-4f4a-882f-74675486a927/ENCFF111DWN.bed.gz				
ENCFF226MBS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1, 2							ENCFF032KFH, ENCFF111DWN, ENCFF603YCN	871	Kevin White, UChicago	ffd0e389ac3a0da15c57958bbcb1d48f		https://www.encodeproject.org/files/ENCFF226MBS/@@download/ENCFF226MBS.bed.gz	dm3				released	s3://encode-public/2017/12/19/208e247f-608d-44ba-9e76-30392686d511/ENCFF226MBS.bed.gz				
ENCFF104ELV	bed narrowPeak	peaks and background as input for IDR	ENCSR521GRU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										prd-dmelanogaster	DNA					False	2017-12-21	modENCODE				1, 2							ENCFF257ASS, ENCFF422LCO, ENCFF800RTX	754999	Kevin White, UChicago	f34b340529b7ce907de8be2dd79f0031		https://www.encodeproject.org/files/ENCFF104ELV/@@download/ENCFF104ELV.bed.gz	dm6				released	s3://encode-public/2017/12/19/b5cd7907-a9dc-4dd2-9959-63b95ed878e5/ENCFF104ELV.bed.gz				
ENCFF972SDJ	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1							ENCFF567GZP, ENCFF946AKF	772117	Kevin White, UChicago	298951b415b5315476fb4f6b0f34c7c4		https://www.encodeproject.org/files/ENCFF972SDJ/@@download/ENCFF972SDJ.bed.gz	dm3				released	s3://encode-public/2018/11/15/cb36e43a-bdcc-4cd8-9ce0-6c97d11d6445/ENCFF972SDJ.bed.gz				
ENCFF976PXY	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				2							ENCFF265PCV, ENCFF722QMT	783785	Kevin White, UChicago	d81a02d69c7cfa3da151eb1470153942		https://www.encodeproject.org/files/ENCFF976PXY/@@download/ENCFF976PXY.bed.gz	dm6				released	s3://encode-public/2018/11/15/73d2a0a8-436c-459d-8a67-392897920db8/ENCFF976PXY.bed.gz				
ENCFF358YAT	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1, 2							ENCFF567GZP, ENCFF639OSN, ENCFF946AKF	779265	Kevin White, UChicago	c9ad1a4431826a93891fdf27d51911dd		https://www.encodeproject.org/files/ENCFF358YAT/@@download/ENCFF358YAT.bed.gz	dm3				released	s3://encode-public/2018/11/15/e8c08b7e-6d45-4e16-bbf8-b75d6f965b71/ENCFF358YAT.bed.gz				
ENCFF104OCL	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				2							ENCFF639OSN, ENCFF946AKF	784578	Kevin White, UChicago	b564b0736a4f2f4ccea1ad9a1d96e9ab		https://www.encodeproject.org/files/ENCFF104OCL/@@download/ENCFF104OCL.bed.gz	dm3				released	s3://encode-public/2018/11/15/7f2d09ff-d53c-403e-80cb-181dbc27d584/ENCFF104OCL.bed.gz				
ENCFF733HBC	bed narrowPeak	optimal IDR thresholded peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1, 2							ENCFF104OCL, ENCFF358YAT, ENCFF972SDJ	17269	Kevin White, UChicago	1ac4b06be13c500330bfa971d32f9eb2		https://www.encodeproject.org/files/ENCFF733HBC/@@download/ENCFF733HBC.bed.gz	dm3				released	s3://encode-public/2018/11/15/ffe05ba4-a291-4f89-91c3-92d7e2dc6e90/ENCFF733HBC.bed.gz				
ENCFF234VID	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1							ENCFF133FHK, ENCFF265PCV	771559	Kevin White, UChicago	1bcfa91a2c91e3ee36aaef31d5a70cda		https://www.encodeproject.org/files/ENCFF234VID/@@download/ENCFF234VID.bed.gz	dm6				released	s3://encode-public/2018/11/15/db0a1642-e9c5-4ca7-a4b7-97cbbec29014/ENCFF234VID.bed.gz				
ENCFF666NWF	bed narrowPeak	peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1, 2							ENCFF133FHK, ENCFF265PCV, ENCFF722QMT	779726	Kevin White, UChicago	d620bd176738424c2c915cf3dd6c0b03		https://www.encodeproject.org/files/ENCFF666NWF/@@download/ENCFF666NWF.bed.gz	dm6				released	s3://encode-public/2018/11/15/a49193ce-fb9f-4c4d-9a0f-78d749ef1984/ENCFF666NWF.bed.gz				
ENCFF342BWT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR086JMG	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster										CG8478-dmelanogaster	DNA					False	2018-12-14	modENCODE				1, 2							ENCFF234VID, ENCFF666NWF, ENCFF976PXY	15479	Kevin White, UChicago	2ac065dfa12dc0a62678eca221c1fb6a		https://www.encodeproject.org/files/ENCFF342BWT/@@download/ENCFF342BWT.bed.gz	dm6				released	s3://encode-public/2018/11/15/a9711bd6-4130-4427-a0b4-dd0c2af7fca9/ENCFF342BWT.bed.gz				
ENCFF803SZZ	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1							ENCFF582LEN, ENCFF694RSN	764209	Kevin White, UChicago	67cb4822d7caa49a3042dffdc71a0298		https://www.encodeproject.org/files/ENCFF803SZZ/@@download/ENCFF803SZZ.bed.gz	dm3				released	s3://encode-public/2017/07/02/194c4180-f365-4ad1-b484-185960fadf40/ENCFF803SZZ.bed.gz				
ENCFF683SNV	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				2							ENCFF252JQP, ENCFF582LEN	778191	Kevin White, UChicago	db3fa9b7ab7ec1aefd22e91ad29a17a7		https://www.encodeproject.org/files/ENCFF683SNV/@@download/ENCFF683SNV.bed.gz	dm3				released	s3://encode-public/2017/07/02/eabe964e-6d9b-4643-adc5-1c7b07ac0a99/ENCFF683SNV.bed.gz				
ENCFF701DDY	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF252JQP, ENCFF582LEN, ENCFF694RSN	782882	Kevin White, UChicago	866ce461abcf2e6b1d59ba9212ad7a78		https://www.encodeproject.org/files/ENCFF701DDY/@@download/ENCFF701DDY.bed.gz	dm3				released	s3://encode-public/2017/07/02/e2e66e4f-ef48-48bc-8712-c8218a42e071/ENCFF701DDY.bed.gz				
ENCFF991NRN	bed narrowPeak	optimal IDR thresholded peaks	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF683SNV, ENCFF701DDY, ENCFF803SZZ	4986	Kevin White, UChicago	893a14af8507ba5a64d2f43c2f82df64		https://www.encodeproject.org/files/ENCFF991NRN/@@download/ENCFF991NRN.bed.gz	dm3				released	s3://encode-public/2017/07/02/dc3be585-cdfe-459f-8ba5-9215ad7519b3/ENCFF991NRN.bed.gz				
ENCFF337MJY	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				2							ENCFF182TJO, ENCFF627IHI	773871	Kevin White, UChicago	d05a77952950d4631f4c709bf966cc87		https://www.encodeproject.org/files/ENCFF337MJY/@@download/ENCFF337MJY.bed.gz	dm6				released	s3://encode-public/2017/07/02/630a7a56-3891-4ad2-a10c-6c97c7bf63d5/ENCFF337MJY.bed.gz				
ENCFF841BLV	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1							ENCFF308GSI, ENCFF627IHI	763651	Kevin White, UChicago	22705b9154ea8742f748fddd4542ffb3		https://www.encodeproject.org/files/ENCFF841BLV/@@download/ENCFF841BLV.bed.gz	dm6				released	s3://encode-public/2017/07/02/c58b1d79-5bad-4abe-8f32-6b7d0ac0370a/ENCFF841BLV.bed.gz				
ENCFF972BDM	bed narrowPeak	peaks and background as input for IDR	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF182TJO, ENCFF308GSI, ENCFF627IHI	784259	Kevin White, UChicago	e363f8af8a182e05ee505cbbb49ca965		https://www.encodeproject.org/files/ENCFF972BDM/@@download/ENCFF972BDM.bed.gz	dm6				released	s3://encode-public/2017/07/02/2f598cea-06a8-49ab-9478-6fdd2b718b92/ENCFF972BDM.bed.gz				
ENCFF118OVG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR058DSI	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/Hr46-dmelanogaster/		dm3 2R 6079816 6166290		pan-dmelanogaster	DNA					False	2017-09-28	modENCODE				1, 2							ENCFF337MJY, ENCFF841BLV, ENCFF972BDM	4052	Kevin White, UChicago	af3bc90d2ab75f76009402d14034e94f		https://www.encodeproject.org/files/ENCFF118OVG/@@download/ENCFF118OVG.bed.gz	dm6				released	s3://encode-public/2017/07/02/8cdc80d2-93d9-436e-a1f0-455d91140990/ENCFF118OVG.bed.gz				
ENCFF619UAH	bed narrowPeak	peaks and background as input for IDR	ENCSR550SQH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/eve-dmelanogaster/		dm3 2R 5857941 5879114		eve-dmelanogaster	DNA					False	2017-09-28	modENCODE				1							ENCFF488LSG, ENCFF500DUI	788500	Kevin White, UChicago	b6e2ae2f0938a66c05e04ad7d3848697		https://www.encodeproject.org/files/ENCFF619UAH/@@download/ENCFF619UAH.bed.gz	dm3				released	s3://encode-public/2017/07/02/721a28dd-b75d-4654-87c2-9a86df8a16cd/ENCFF619UAH.bed.gz				
ENCFF603BCS	bed narrowPeak	peaks and background as input for IDR	ENCSR550SQH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/eve-dmelanogaster/		dm3 2R 5857941 5879114		eve-dmelanogaster	DNA					False	2017-09-28	modENCODE				2							ENCFF488LSG, ENCFF557GWY	769920	Kevin White, UChicago	52577856e907815159edf92d43eac91c		https://www.encodeproject.org/files/ENCFF603BCS/@@download/ENCFF603BCS.bed.gz	dm3				released	s3://encode-public/2017/07/02/d27f342d-aa38-4d61-b798-12e1b860a823/ENCFF603BCS.bed.gz				
